Group,Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
11ProfitCeiling,s000.kp,500,127278,127239,127277,209,False,180.0263,TIME_LIMIT
11ProfitCeiling,s001.kp,500,123764,123714,123763,216,False,180.0260,TIME_LIMIT
11ProfitCeiling,s000.kp,1000,245972,245877,245972,412,False,180.0176,TIME_LIMIT
11ProfitCeiling,s001.kp,1000,254777,254682,254777,425,False,180.0045,TIME_LIMIT
11ProfitCeiling,s000.kp,2000,498452,498255,498450,840,False,180.0221,TIME_LIMIT
11ProfitCeiling,s001.kp,2000,497847,497640,497847,854,False,180.0134,TIME_LIMIT
11ProfitCeiling,s000.kp,5000,1249257,1248798,1249255,2122,False,180.0080,TIME_LIMIT
11ProfitCeiling,s001.kp,5000,1240984,1240470,1240982,2121,False,180.0051,TIME_LIMIT
12Circle,s000.kp,50,14239,300031,14239,24,True,1.8886,OPTIMAL
12Circle,s001.kp,50,11793,248488,11793,17,True,0.2965,OPTIMAL
12Circle,s000.kp,100,29017,611418,29017,43,True,0.5388,OPTIMAL
12Circle,s001.kp,100,25391,535012,25391,37,False,180.0564,TIME_LIMIT
12Circle,s000.kp,200,51563,1086483,51563,79,False,180.0496,TIME_LIMIT
12Circle,s001.kp,200,48106,1013639,48106,73,False,180.0468,TIME_LIMIT
12Circle,s000.kp,500,127278,2681868,127278,184,False,180.1847,TIME_LIMIT
12Circle,s001.kp,500,123764,2607828,123764,182,False,180.0275,TIME_LIMIT
12Circle,s000.kp,1000,245972,5182856,245972,366,True,0.0229,OPTIMAL
12Circle,s001.kp,1000,254777,5368399,254777,365,False,180.0283,TIME_LIMIT
12Circle,s000.kp,2000,498452,10502842,498452,736,False,179.9932,TIME_LIMIT
12Circle,s001.kp,2000,497847,10490114,497847,736,False,180.0125,TIME_LIMIT
12Circle,s000.kp,5000,1249257,26323007,1249257,1844,False,180.0129,TIME_LIMIT
12Circle,s001.kp,5000,1240984,26148709,1240984,1836,False,180.0051,TIME_LIMIT
